Rank,Name,Country,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Score,Rel_score(%),Award
1,Filip Wolski,Poland,100,100,98,100,35,47,480,80.00,Gold
2,Jae Hyun Park,Republic of Korea,100,100,81,100,46,39,466,77.67,Gold
3,Fan Long,China,100,100,74,100,35,43,452,75.33,Gold
4,Sergey Kopeliovich,Russia,100,100,75,100,35,36,446,74.33,Gold
5,John Pardon,United States of America,100,100,79,100,17,44,440,73.33,Gold
6,Rostislav Rumenov,Bulgaria,100,100,98,25,100,14,437,72.83,Gold
7,Mircea-Bogdan Pasoi,Romania,100,100,84,100,40,11,435,72.50,Gold
8,Uladzimir Miniailau,Belarus,100,100,71,100,31,32,434,72.33,Gold
9,Zeyuan Zhu,China,100,100,68,100,26,33,427,71.17,Gold
10,Ilya Razenshteyn,Russia,100,68,84,100,40,33,425,70.83,Gold
11,Denis Denisov,Russia,100,71,82,100,26,43,422,70.33,Gold
12,Mikita Lesnikau,Belarus,100,100,83,100,29,7,419,69.83,Gold
13,Vahid Liaghat,Iran,100,100,55,100,0,63,418,69.67,Gold
14,Dong Wang,China,100,100,91,100,0,24,415,69.17,Gold
15,Chris Chen,Australia,100,100,73,100,0,41,414,69.00,Gold
16,Toshiki Kataoka,Japan,100,100,81,100,0,32,413,68.83,Gold
17,Daniyil Neyter,Ukraine,100,100,72,100,0,27,399,66.50,Gold
18,Jakub Kallas,Poland,100,100,95,100,0,0,395,65.83,Gold
19,Tianyi Li,China,100,71,29,100,40,52,392,65.33,Gold
20,Atamyrat Hezretkuliyew,Turkmenistan,100,100,49,80,35,25,389,64.83,Gold
21,Marcin Andrychowicz,Poland,100,100,62,80,26,20,388,64.67,Gold
21,Masaki Watanabe,Japan,100,65,83,100,0,40,388,64.67,Gold
23,Chi Kit Lam,"Hong Kong, China",100,71,57,100,58,0,386,64.33,Gold
24,Codrut-Miron Grosu,Romania,100,100,68,100,17,0,385,64.17,Gold
25,Chun-Sung Ferng,Taiwan,100,10,76,100,40,58,384,64.00,Silver
26,Gennady Korotkevich,Belarus,100,59,73,100,26,21,379,63.17,Silver
27,Dmytro Dzhulgakov,Ukraine,100,100,57,40,41,40,378,63.00,Silver
27,Yerlan Bissenov,Kazakhstan,100,59,10,100,17,92,378,63.00,Silver
29,Derianto Kusuma,Indonesia,100,100,64,80,0,32,376,62.67,Silver
30,Christos Tzamos,Greece,100,59,58,100,26,28,371,61.83,Silver
30,Varuna Parinda Jayasiri,Sri Lanka,100,68,44,100,35,24,371,61.83,Silver
32,Po-Lung Chen,Taiwan,100,68,85,100,17,0,370,61.67,Silver
33,Benjamin Butin,France,100,62,69,100,8,27,366,61.00,Silver
34,Nima Ahmadi Pour ana,Iran,100,30,70,100,40,25,365,60.83,Silver
35,Min Joon Kim,Republic of Korea,100,100,10,100,31,21,362,60.33,Silver
36,Jae Hong Kim,Republic of Korea,100,100,23,80,40,18,361,60.17,Silver
37,Dae Wook Kim,Republic of Korea,100,100,47,100,0,13,360,60.00,Silver
37,Richard McCutchen,United States of America,100,100,100,30,23,7,360,60.00,Silver
37,Zviad Metreveli,Georgia,100,100,40,100,0,20,360,60.00,Silver
40,Vytautas Gruslys,Lithuania,100,59,71,100,0,29,359,59.83,Silver
41,Daniel Bundala,Slovakia,100,48,82,65,35,28,358,59.67,Silver
42,Bohua Zhan,United States of America,100,100,87,5,26,38,356,59.33,Silver
43,Ralf Kistner,South Africa,100,62,46,100,17,29,354,59.00,Silver
44,Joshua Yudaken,South Africa,100,20,76,90,26,41,353,58.83,Silver
44,Tiberiu-Lucian Florea,Romania,100,100,73,80,0,0,353,58.83,Silver
44,Tuan Khuc Anh,Vietnam,100,65,68,100,0,20,353,58.83,Silver
47,Stephen Dolan,Ireland,100,65,71,95,0,20,351,58.50,Silver
48,Peng Shi,Canada,100,62,88,100,0,0,350,58.33,Silver
49,Michał Pilipczuk,Poland,100,100,10,100,0,36,346,57.67,Silver
50,George Boxer,United States of America,100,62,56,100,0,26,344,57.33,Silver
50,Harpreet Singh,India,100,100,45,80,0,19,344,57.33,Silver
50,Vytis Banaitis,Lithuania,100,100,76,0,35,33,344,57.33,Silver
53,Marko Ivankovic,Croatia,100,28,80,100,0,35,343,57.17,Silver
53,Sergejs Beļajevs,Latvia,100,62,56,100,0,25,343,57.17,Silver
53,Shayan Ehsani,Iran,100,65,21,100,26,31,343,57.17,Silver
56,Asger Cronberg Ipsen,Denmark,100,30,38,100,40,32,340,56.67,Silver
57,Josef Pihera,Czech Republic,100,36,52,100,17,34,339,56.50,Silver
57,Nam Lei,"Macao, China",100,100,63,55,0,21,339,56.50,Silver
59,Preslav Dat Le,Bulgaria,100,100,70,40,0,27,337,56.17,Silver
60,Igor Bonači,Croatia,100,68,43,85,40,0,336,56.00,Silver
61,Chen Xing,Sweden,100,68,92,50,0,25,335,55.83,Silver
62,Richard Peng,Canada,100,100,65,5,40,24,334,55.67,Silver
63,Mikloš Homolja,Serbia and Montenegro,100,80,21,100,0,32,333,55.50,Silver
64,Balázs Kormányos,Hungary,100,59,78,55,17,23,332,55.33,Silver
65,Andy Kong,Canada,100,100,79,30,8,11,328,54.67,Silver
65,David Tvaltchrelidze,Georgia,100,59,49,100,0,20,328,54.67,Silver
67,Laur Tooming,Estonia,100,59,53,100,0,14,326,54.33,Silver
68,Vladyslav Simonenko,Ukraine,100,100,0,100,17,7,324,54.00,Silver
69,Jan Mikulas,Slovakia,100,65,70,55,0,32,322,53.67,Silver
70,Keegan Carruthers-Smith,South Africa,100,71,43,100,0,7,321,53.50,Silver
71,Tzay-Yeu Wen,Taiwan,100,10,60,100,26,24,320,53.33,Silver
72,Christos-Apos Mantoulidis,Greece,100,23,63,100,0,33,319,53.17,Silver
72,Janne Kokkala,Finland,100,62,40,80,0,37,319,53.17,Silver
74,Peter Perešíni,Slovakia,100,45,57,100,0,13,315,52.50,Silver
75,Jarrah Lacko,Australia,100,56,25,100,0,33,314,52.33,Silver
76,Ryan Lothian,United Kingdom,100,62,28,80,0,43,313,52.17,Bronze
77,Jacques-Henri Jourdan,France,100,22,50,100,0,40,312,52.00,Bronze
78,Ahmet Rıdvan Duran,Türkiye,100,68,30,100,0,13,311,51.83,Bronze
78,Tomislav Grbin,Croatia,100,10,34,100,40,27,311,51.83,Bronze
80,Thijs Marinussen,Netherlands,100,56,71,40,0,41,308,51.33,Bronze
81,Wing Yin Yim,"Hong Kong, China",100,100,67,0,40,0,307,51.17,Bronze
82,Andrey Bannikov,Russia,100,71,61,10,35,29,306,51.00,Bronze
83,Stevan Jončić,Serbia and Montenegro,100,68,0,100,35,0,303,50.50,Bronze
84,Timur Abishev,Kazakhstan,100,62,0,5,40,93,300,50.00,Bronze
85,Daniel Marek,Czech Republic,100,56,0,100,8,32,296,49.33,Bronze
86,Martin Joerg,Austria,100,62,0,100,0,33,295,49.17,Bronze
87,Khanh Nguyen Tran Nam,Vietnam,100,33,8,100,26,27,294,49.00,Bronze
88,Zhomart Sadykov,Kazakhstan,100,100,28,35,0,30,293,48.83,Bronze
89,Goran Žužić,Croatia,100,59,13,100,0,20,292,48.67,Bronze
90,Rajko Nenadov,Serbia and Montenegro,100,71,0,100,0,18,289,48.17,Bronze
91,Giorgi Lekveishvili,Georgia,100,33,0,100,26,29,288,48.00,Bronze
92,Nino Basic,Slovenia,100,62,94,0,0,30,286,47.67,Bronze
93,Peter Acsai,Hungary,100,68,37,55,0,25,285,47.50,Bronze
94,Luis Enrique Vargas Azcona,Mexico,100,90,0,80,0,14,284,47.33,Bronze
95,Antti Laaksonen,Finland,100,62,0,100,0,21,283,47.17,Bronze
96,Jorgen Fogh,Denmark,100,56,28,0,0,98,282,47.00,Bronze
97,Supasorn Suwajanakor,Thailand,100,43,22,100,0,16,281,46.83,Bronze
98,Matjaž Gomilšek,Slovenia,100,53,24,40,35,27,279,46.50,Bronze
99,Giorgi Nadiradze,Georgia,100,59,11,100,8,0,278,46.33,Bronze
100,Phitchaya Phothilimthana,Thailand,100,62,51,40,0,22,275,45.83,Bronze
101,Hessam Akhlaghpour,Iran,100,42,0,100,0,30,272,45.33,Bronze
102,Swarun Kumar Suresh Kumar,India,100,56,53,10,17,31,267,44.50,Bronze
103,Te-Yu Tsai,Taiwan,70,62,53,40,0,40,265,44.17,Bronze
104,Armen Mnatsakanyan,Armenia,100,59,49,30,0,25,263,43.83,Bronze
104,Daumilas Ardickas,Lithuania,100,0,31,100,0,32,263,43.83,Bronze
104,Sukolsak Sakshuwong,Thailand,100,62,33,0,35,33,263,43.83,Bronze
107,Bar Goueta,Israel,100,33,3,100,26,0,262,43.67,Bronze
107,Daniel Kraft,Austria,100,62,16,40,17,27,262,43.67,Bronze
107,Rubin Xu,United Kingdom,100,59,39,45,0,19,262,43.67,Bronze
110,Chethiya Abeysinghe,Sri Lanka,100,56,33,40,0,32,261,43.50,Bronze
111,Igors Stepanovs,Latvia,100,100,0,35,0,23,258,43.00,Bronze
112,Benjamin Berger,Germany,100,59,75,0,0,22,256,42.67,Bronze
112,Yan Ting Hui,"Hong Kong, China",100,100,22,0,0,34,256,42.67,Bronze
114,Gabriel Bujokas,Brazil,100,62,46,40,0,7,255,42.50,Bronze
115,Adrian-Valentin Vladu,Romania,100,100,54,0,0,0,254,42.33,Bronze
115,Koh Pang Wei,Singapore,60,100,42,0,0,52,254,42.33,Bronze
117,Lauri Kenttä,Finland,100,59,73,0,0,20,252,42.00,Bronze
117,Roman Rizvanov,Ukraine,65,59,11,100,17,0,252,42.00,Bronze
119,Pāvels Cupikovs,Latvia,100,59,59,0,8,24,250,41.67,Bronze
120,Tung Dang Thanh,Vietnam,100,59,0,30,35,24,248,41.33,Bronze
121,Ville Pettersson,Finland,100,100,25,0,0,21,246,41.00,Bronze
122,Paulo Roberto Almeida Costa,Brazil,100,43,0,100,0,0,243,40.50,Bronze
123,Bakhytzhan Baizhikenov,Kazakhstan,100,30,54,50,8,0,242,40.33,Bronze
124,Kentaro Imajo,Japan,100,59,54,0,8,20,241,40.17,Bronze
124,Prateek Karandikar,India,100,59,52,0,0,30,241,40.17,Bronze
126,Rivo Laks,Estonia,100,39,33,40,0,28,240,40.00,Bronze
127,Batbaatar Burentogtokh,Mongolia,100,59,63,0,17,0,239,39.83,Bronze
127,Linh Tran Tuan,Vietnam,100,59,0,80,0,0,239,39.83,Bronze
127,Salvatore Ingala,Italy,100,6,0,100,0,33,239,39.83,Bronze
130,Evgeny Fraimovitch,Israel,100,0,0,100,0,35,235,39.17,Bronze
130,Qiyu Zhu,Canada,100,100,0,0,0,35,235,39.17,Bronze
130,Veselin Krasimirov Kulev,Bulgaria,100,62,0,55,8,10,235,39.17,Bronze
133,David Waszek,France,100,0,0,100,0,32,232,38.67,Bronze
134,Erik Panzer,Germany,100,65,12,10,0,44,231,38.50,Bronze
135,Andreja Ilic,Serbia and Montenegro,100,100,0,0,26,3,229,38.17,Bronze
135,Pieter Bootsma,Netherlands,100,30,59,0,40,0,229,38.17,Bronze
135,Sandaruwan Gunathilake,Sri Lanka,100,56,0,40,26,7,229,38.17,Bronze
138,Ahmed Naguib,Egypt,60,59,0,100,0,9,228,38.00,Bronze
138,Gerhard Niederbrucker,Austria,100,0,53,30,17,28,228,38.00,Bronze
140,Nicola Pierazzo,Italy,100,0,0,100,0,27,227,37.83,Bronze
141,Amitay Kamber,Israel,100,0,0,100,0,20,220,36.67,Bronze
141,Carlos Ballesteros,Spain,100,39,9,40,0,32,220,36.67,Bronze
141,Li Yu Chu,"Hong Kong, China",100,100,18,0,0,2,220,36.67,Bronze
144,Koh Zi Chun,Singapore,100,16,25,30,35,13,219,36.50,Bronze
144,Michal Vaner,Czech Republic,100,43,48,10,0,18,219,36.50,Bronze
146,,No country,100,59,0,0,26,32,217,36.17,
147,,No country,100,59,30,0,0,24,213,35.50,
148,,No country,100,59,32,0,0,20,211,35.17,
148,,No country,100,77,0,5,0,29,211,35.17,
150,,No country,100,62,0,0,0,47,209,34.83,
150,,No country,70,59,17,30,0,33,209,34.83,
152,,No country,100,10,39,0,0,58,207,34.50,
152,,No country,100,59,17,0,0,31,207,34.50,
154,,No country,100,59,38,0,8,0,205,34.17,
154,,No country,100,59,33,0,0,13,205,34.17,
156,,No country,100,56,24,0,0,24,204,34.00,
156,,No country,100,50,47,0,0,7,204,34.00,
158,,No country,100,20,0,10,0,73,203,33.83,
158,,No country,100,59,0,0,0,44,203,33.83,
158,,No country,100,30,0,40,0,33,203,33.83,
158,,No country,100,56,7,40,0,0,203,33.83,
162,,No country,100,16,10,30,0,45,201,33.50,
163,,No country,100,62,20,0,0,18,200,33.33,
164,,No country,70,59,0,70,0,0,199,33.17,
165,,No country,100,59,4,0,35,0,198,33.00,
165,,No country,100,71,0,0,0,27,198,33.00,
167,,No country,100,59,5,0,0,33,197,32.83,
167,,No country,65,59,0,40,17,16,197,32.83,
169,,No country,65,56,0,40,8,27,196,32.67,
169,,No country,100,62,9,0,0,25,196,32.67,
171,,No country,100,59,0,0,0,32,191,31.83,
172,,No country,100,59,0,30,0,0,189,31.50,
172,,No country,100,20,0,35,0,34,189,31.50,
172,,No country,65,62,0,30,0,32,189,31.50,
172,,No country,100,62,0,0,0,27,189,31.50,
172,,No country,100,30,4,40,0,15,189,31.50,
177,,No country,100,49,39,0,0,0,188,31.33,
178,,No country,65,0,0,100,0,20,185,30.83,
179,,No country,60,59,35,0,0,28,182,30.33,
180,,No country,65,0,35,55,0,25,180,30.00,
180,,No country,100,59,13,0,8,0,180,30.00,
182,,No country,100,59,0,0,0,20,179,29.83,
183,,No country,65,59,0,40,8,1,173,28.83,
184,,No country,100,30,0,0,35,6,171,28.50,
185,,No country,100,62,0,0,0,7,169,28.17,
185,,No country,100,56,13,0,0,0,169,28.17,
187,,No country,0,10,22,100,35,0,167,27.83,
188,,No country,65,56,38,0,0,7,166,27.67,
189,,No country,65,0,0,100,0,0,165,27.50,
190,,No country,100,19,42,0,0,0,161,26.83,
190,,No country,65,56,0,40,0,0,161,26.83,
192,,No country,100,30,10,0,0,20,160,26.67,
192,,No country,65,30,24,0,8,33,160,26.67,
192,,No country,100,0,0,40,0,20,160,26.67,
192,,No country,100,10,20,0,0,30,160,26.67,
196,,No country,100,59,0,0,0,0,159,26.50,
197,,No country,70,13,0,40,8,27,158,26.33,
198,,No country,100,3,0,30,0,24,157,26.17,
199,,No country,65,30,27,0,8,23,153,25.50,
199,,No country,100,53,0,0,0,0,153,25.50,
201,,No country,100,10,0,0,35,7,152,25.33,
201,,No country,100,0,0,45,0,7,152,25.33,
203,,No country,100,30,0,0,0,18,148,24.67,
203,,No country,100,30,13,0,0,5,148,24.67,
205,,No country,100,36,4,0,0,7,147,24.50,
206,,No country,100,3,28,0,0,15,146,24.33,
207,,No country,100,0,37,0,8,0,145,24.17,
207,,No country,65,38,0,0,8,34,145,24.17,
209,,No country,100,10,0,0,0,33,143,23.83,
210,,No country,100,20,0,0,0,20,140,23.33,
211,,No country,100,10,0,0,0,27,137,22.83,
212,,No country,100,0,14,0,0,20,134,22.33,
213,,No country,100,33,0,0,0,0,133,22.17,
214,,No country,100,0,8,0,0,24,132,22.00,
215,,No country,100,30,0,0,0,1,131,21.83,
215,,No country,0,59,0,40,0,32,131,21.83,
217,,No country,100,30,0,0,0,0,130,21.67,
217,,No country,50,59,0,0,0,21,130,21.67,
219,,No country,100,0,0,0,26,0,126,21.00,
220,,No country,100,0,12,0,0,13,125,20.83,
221,,No country,65,10,0,40,0,7,122,20.33,
222,,No country,65,0,40,0,0,13,118,19.67,
223,,No country,100,0,0,0,0,16,116,19.33,
224,,No country,100,0,0,15,0,0,115,19.17,
225,,No country,65,26,15,0,0,7,113,18.83,
226,,No country,100,10,0,0,0,0,110,18.33,
226,,No country,100,10,0,0,0,0,110,18.33,
228,,No country,100,0,0,0,0,7,107,17.83,
229,,No country,65,0,16,0,0,20,101,16.83,
230,,No country,100,0,0,0,0,0,100,16.67,
231,,No country,65,30,0,0,0,3,98,16.33,
232,,No country,65,30,0,0,0,0,95,15.83,
233,,No country,65,10,0,0,0,17,92,15.33,
234,,No country,65,10,0,0,0,15,90,15.00,
234,,No country,15,50,0,0,0,25,90,15.00,
236,,No country,70,9,9,0,0,0,88,14.67,
237,,No country,65,0,0,0,0,20,85,14.17,
238,,No country,65,0,0,0,8,0,73,12.17,
238,,No country,0,30,0,30,0,13,73,12.17,
240,,No country,70,0,0,0,0,0,70,11.67,
241,,No country,65,0,0,0,0,0,65,10.83,
241,,No country,65,0,0,0,0,0,65,10.83,
241,,No country,65,0,0,0,0,0,65,10.83,
241,,No country,65,0,0,0,0,0,65,10.83,
241,,No country,65,0,0,0,0,0,65,10.83,
246,,No country,15,0,0,0,0,46,61,10.17,
247,,No country,0,59,0,0,0,0,59,9.83,
248,,No country,0,30,0,0,0,27,57,9.50,
249,,No country,50,0,4,0,0,0,54,9.00,
250,,No country,0,30,0,0,0,17,47,7.83,
251,,No country,0,13,0,0,0,32,45,7.50,
252,,No country,0,43,0,0,0,0,43,7.17,
252,,No country,0,10,0,0,0,33,43,7.17,
254,,No country,0,33,9,0,0,0,42,7.00,
255,,No country,0,10,0,0,0,31,41,6.83,
256,,No country,0,10,0,30,0,0,40,6.67,
257,,No country,5,0,0,0,0,29,34,5.67,
258,,No country,0,30,0,0,0,0,30,5.00,
258,,No country,0,30,0,0,0,0,30,5.00,
260,,No country,0,10,18,0,0,0,28,4.67,
261,,No country,10,10,0,0,0,7,27,4.50,
262,,No country,15,10,0,0,0,0,25,4.17,
263,,No country,0,20,0,0,0,0,20,3.33,
264,,No country,0,0,0,0,0,15,15,2.50,
264,,No country,15,0,0,0,0,0,15,2.50,
266,,No country,0,10,0,0,0,4,14,2.33,
267,,No country,0,10,3,0,0,0,13,2.17,
267,,No country,0,0,4,0,0,9,13,2.17,
269,,No country,0,10,0,0,0,0,10,1.67,
270,,No country,0,3,0,0,0,0,3,0.50,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
271,,No country,0,0,0,0,0,0,0,0.00,
